,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
80,76036,"Anderson, Daniel",Daniel Anderson,0,1974,1975,HISTADD_daniel_anderson,0,,,,,Y,0
81,1507,"Anderson, Derek",Derek Anderson,0,1997,2007,derek_anderson,0,,,,,Y,0
82,76037,"Anderson, Dwight",Dwight Anderson,0,1982,1982,HISTADD_dwight_anderson,0,,,,,Y,0
83,944,"Anderson, Eric",Eric Anderson,0,1992,1993,eric_anderson,0,,,,,Y,0
84,246,"Anderson, Greg",Greg Anderson,1,1987,1997,greg_anderson,1610612743,Denver,Nuggets,DEN,nuggets,Y,0
85,202341,"Anderson, James",James Anderson,0,2010,2015,james_anderson,0,,,,,Y,1
86,76040,"Anderson, Jerome",Jerome Anderson,0,1975,1976,HISTADD_jerome_anderson,0,,,,,Y,0
87,1626147,"Anderson, Justin",Justin Anderson,0,2015,2018,justin_anderson,0,,,,,Y,1
88,72,"Anderson, Kenny",Kenny Anderson,0,1991,2004,kenny_anderson,0,,,,,Y,0
89,76041,"Anderson, Kim",Kim Anderson,0,1978,1978,HISTADD_kim_anderson,0,,,,,Y,0
90,203937,"Anderson, Kyle",Kyle Anderson,0,2014,2019,kyle_anderson,0,,,,,Y,1
91,76042,"Anderson, Michael",Michael Anderson,0,1988,1988,HISTADD_michael_anderson,0,,,,,Y,0
92,76043,"Anderson, Mitchell",Mitchell Anderson,0,1982,1984,HISTADD_jj_anderson,0,,,,,Y,0
93,98,"Anderson, Nick",Nick Anderson,1,1989,2002,nick_anderson,1610612753,Orlando,Magic,ORL,magic,Y,0
94,76045,"Anderson, Richard",Richard Anderson,0,1982,1989,HISTADD_richard_anderson,0,,,,,Y,0
95,76046,"Anderson, Ron",Ron Anderson,1,1984,1993,HISTADD_ron_anderson,1610612755,Philadelphia,76ers,PHL,sixers,Y,0
96,201583,"Anderson, Ryan",Ryan Anderson,0,2008,2019,ryan_anderson,0,,,,,Y,0
97,1000,"Anderson, Shandon",Shandon Anderson,0,1996,2005,shandon_anderson,0,,,,,Y,0
98,335,"Anderson, Willie",Willie Anderson,1,1988,1996,willie_anderson,1610612759,San Antonio,Spurs,SAN,spurs,Y,0
99,76048,"Anderzunas, Wally",Wally Anderzunas,0,1969,1969,HISTADD_wally_anderzunas,0,,,,,Y,0
100,101149,"Andriuskevicius, Martynas",Martynas Andriuskevicius,0,2005,2006,martynas_andriuskevicius,0,,,,,Y,1
101,76049,"Anielak, Don",Don Anielak,0,1954,1954,HISTADD_don_anielak,0,,,,,Y,0
102,1628387,"Anigbogu, Ike",Ike Anigbogu,0,2017,2018,ike_anigbogu,0,,,,,Y,1
103,76050,"Ansley, Michael",Michael Ansley,1,1989,1991,HISTADD_michael_ansley,1610612753,Orlando,Magic,ORL,magic,Y,0
104,1512,"Anstey, Chris",Chris Anstey,0,1997,1999,chris_anstey,0,,,,,Y,0
105,203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,0,2013,2019,giannis_antetokounmpo,0,,,,,Y,0
106,1628961,"Antetokounmpo, Kostas",Kostas Antetokounmpo,0,2018,2019,kostas_antetokounmpo,0,,,,,Y,1
107,203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,0,2015,2019,thanasis_antetokounmpo,0,,,,,Y,1
108,2546,"Anthony, Carmelo",Carmelo Anthony,0,2003,2019,carmelo_anthony,0,,,,,Y,0
109,21,"Anthony, Greg",Greg Anthony,0,1991,2001,greg_anthony,0,,,,,Y,0
110,201202,"Anthony, Joel",Joel Anthony,0,2007,2016,joel_anthony,0,,,,,Y,1
111,203544,"Antic, Pero",Pero Antic,0,2013,2014,pero_antic,0,,,,,Y,0
112,1628384,"Anunoby, OG",OG Anunoby,0,2017,2019,og_anunoby,0,,,,,Y,0
113,203951,"Appling, Keith",Keith Appling,0,2015,2015,keith_appling,0,,,,,Y,1
114,2737,"Araujo, Rafael",Rafael Araujo,0,2004,2006,rafael_araujo,0,,,,,Y,0
115,76053,"Arceneaux, Stacey",Stacey Arceneaux,0,1961,1961,HISTADD_stacey_arceneaux,0,,,,,Y,0
116,76054,"Archibald, Nate",Nate Archibald,0,1970,1983,HISTADD_nate_archibald,0,,,,,Y,0
117,2425,"Archibald, Robert",Robert Archibald,0,2002,2003,robert_archibald,0,,,,,Y,0
